BBB|37|13.27|13.13|12.77
BB|37|14.64|14.29|13.42
B|24|16.69|15.72|13.72
AA|5|11.66|11.66|11.66
-|1|14.96|14.87|14.67
A|23|12.55|12.39|11.92
C|4|13.62|190.65|1054.84
AAA|1|11.6|11.33|11.22
