ORUP|Обувь России|Банкрот, цена на дне 
BELU|Novabev Group|Был сплит, теперь не верно показывает
CNTLP|Центральный Телеграф|Были две разовые выплаты, которые исказили статистику
CNTL|Центральный Телеграф|Были две разовые выплаты, которые исказили статистику
LNZLP|Лензолото|Была разовая выплата, которая исказила статистику
LNZL|Лензолото|Была разовая выплата, которая исказила статистику
FIXP|Fix Price Group|Была разовая выплата, которая исказила статистику
