Тикер|Название|2018|2019|2020|2021|2022|2023|2024|Среднее|Рост|Среднее корр|Цена|Доходность|Доходность корр|
UPRO|Юнипро|0,22|0,22|0,22|0,32|0,0|0,0|0,0|0,14|0,5|0,07|1,95|7,18|3,59|
MRKS|МРСК Сибири|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1|0,0|0,59|0,0|0,0|
MSNG|Мосэнерго|0,17|0,21|0,12|0,18|0,22|0,19|0,16|0,1786|1,12|0,2|2,35|7,6|8,51|
AFKS|АФК Система|0,11|0,11|0,13|0,31|0,0|0,41|0,52|0,2271|1,88|0,4269|14,88|1,53|2,87|
PLZL|Полюс|278,23|306,6|484,93|654,63|0,0|0,0|1301,75|432,3057|1,01|436,6288|14816,5|2,92|2,95|
LKOH|ЛУКОЙЛ|225,0|347,0|396,0|553,0|793,0|885,0|1012,0|601,5714|2,36|1419,7085|7100,5|8,47|19,99|
DELI|Делимобиль|0,0|0,0|0,0|0,0|0,0|0,0|1,0|0,1429|1|0,1429|208,2|0,07|0,07|
MGKL|МГКЛ|0,0|0,0|0,0|0,0|0,0|0,0|0,08|0,0114|1|0,0114|2,49|0,46|0,46|
LEAS|Европлан|11,74|15,69|23,34|10,0|29,17|48,34|75,0|30,4686|3,35|102,0698|682,1|4,47|14,96|
UDMN|Удмуртнефть|0,0|0,0|1022,48|3327,01|6672,9|740,99|1939,73|1957,5871|2,87|5618,275|29250,0|6,69|19,21|
NMTP|НМТП|0,52|0,76|1,35|0,06|0,54|0,8|0,77|0,6857|1,05|0,72|9,26|7,4|7,78|
TGKA|ТГК-1|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1|0,0|0,01|0,0|0,0|
MTLRP|Мечел - Привилегированные акции|16,66|18,21|3,48|1,17|0,0|0,0|0,0|5,6457|0,5|2,8228|108,05|5,23|2,61|
MRKY|МРСК Юга|0,01|0,01|0,0|0,0|0,0|0,0|0,0|0,0029|0,5|0,0014|0,07|4,14|2,0|
